date,no2(ppm)
2020-08-04,0.014
2020-08-05,0.016
2020-08-06,0.021
2020-08-07,0.029
2020-08-08,0.023
2020-08-09,0.015
2020-08-10,0.017
2020-08-11,0.027
2020-08-12,0.028
2020-08-13,0.024
2020-08-14,0.021
2020-08-15,0.022
2020-08-16,0.013
2020-08-17,0.018
2020-08-18,0.021
2020-08-19,0.017
2020-08-20,0.024
2020-08-21,0.024
2020-08-22,0.024
2020-08-23,0.016
2020-08-24,0.027
2020-08-25,0.024
2020-08-26,0.026
2020-08-27,0.021
2020-08-28,0.023
2020-08-29,0.021
2020-08-30,0.017
2020-08-31,0.027
2020-09-01,0.031
2020-09-02,0.024
2020-09-03,0.016
2020-09-04,0.026
2020-09-05,0.034
2020-09-06,0.02
2020-09-07,0.015
2020-09-08,0.02
2020-09-09,0.026
2020-09-10,0.029
2020-09-11,0.031
2020-09-12,0.021
2020-09-13,0.011
2020-09-14,0.018
2020-09-15,0.028
2020-09-16,0.033
2020-09-17,0.022
2020-09-18,0.018
2020-09-19,0.02
2020-09-20,0.011
2020-09-21,0.024
2020-09-22,0.024
2020-09-23,0.021
2020-09-24,0.023
2020-09-25,0.022
2020-09-26,0.018
2020-09-27,0.016
2020-09-28,0.025
2020-09-29,0.023
2020-09-30,0.019
2020-10-01,0.017
2020-10-02,0.019
2020-10-03,0.015
2020-10-04,0.01
2020-10-05,0.011
2020-10-06,0.015
2020-10-07,0.024
2020-10-08,0.026
2020-10-09,0.021
2020-10-10,0.021
2020-10-11,0.02
2020-10-12,0.024
2020-10-13,0.017
2020-10-14,0.022
2020-10-15,0.023
2020-10-16,0.034
2020-10-17,0.022
2020-10-18,0.022
2020-10-19,0.033
2020-10-20,0.038
2020-10-21,0.044
2020-10-22,0.023
2020-10-23,0.013
2020-10-24,0.014
2020-10-25,0.024
2020-10-26,0.034
2020-10-27,0.037
2020-10-28,0.015
2020-10-29,0.026
2020-10-30,0.035
2020-10-31,0.031
2020-11-01,0.025
2020-11-02,0.021
2020-11-03,0.01
